 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +6.4500000000000000E+01	  +4.1209039607504372E-01	  +1.7081865425549028E+00	  +4.4358245793342119E+00	  +2.8468014757067533E+04	  +5.3069913194590146E+04	  +5.6930262917686872E+04	
  +6.4625000000000000E+01	  +4.1148203966538183E-01	  +1.7074038300449130E+00	  +4.4365686943882690E+00	  +2.8407137787036809E+04	  +5.3044092834720475E+04	  +5.6947733308912429E+04	
  +6.4750000000000000E+01	  +4.1148203966538183E-01	  +1.7078454977548601E+00	  +4.4366698939335345E+00	  +2.8407137787036809E+04	  +5.3059222105053741E+04	  +5.6946696705420713E+04	
  +6.4875000000000000E+01	  +4.1122443757485760E-01	  +1.7078259021097708E+00	  +4.4366877856473987E+00	  +2.8379661618451712E+04	  +5.3062855038358808E+04	  +5.6947079962117648E+04	
  +6.5000000000000000E+01	  +4.1138359652117623E-01	  +1.7077057617895415E+00	  +4.4374867879285738E+00	  +2.8396638822806071E+04	  +5.3060938919428729E+04	  +5.6959815963119712E+04	
  +6.5125000000000000E+01	  +4.1142894908775229E-01	  +1.7077527904487846E+00	  +4.4376442751712304E+00	  +2.8401475845430832E+04	  +5.3061225735046268E+04	  +5.6961916210685755E+04	
  +6.5250000000000000E+01	  +4.1149123549068095E-01	  +1.7081480340167856E+00	  +4.4380486491811206E+00	  +2.8408236173781897E+04	  +5.3073902402496627E+04	  +5.6965717196845078E+04	
  +6.5375000000000000E+01	  +4.1188057316311222E-01	  +1.7081273447180219E+00	  +4.4376187816408619E+00	  +2.8450215132653557E+04	  +5.3072725077034476E+04	  +5.6959359946079880E+04	
  +6.5500000000000000E+01	  +4.1188057316311222E-01	  +1.7082598279520207E+00	  +4.4383611611929803E+00	  +2.8450215132653557E+04	  +5.3076109398902758E+04	  +5.6969777750390902E+04	
  +6.5625000000000000E+01	  +4.1201354013143232E-01	  +1.7081381666102153E+00	  +4.4376542791798039E+00	  +2.8464621070851230E+04	  +5.3069986772299053E+04	  +5.6959832059713379E+04	
  +6.5750000000000000E+01	  +4.1208928137590978E-01	  +1.7084973456293964E+00	  +4.4377375150110021E+00	  +2.8472809473144225E+04	  +5.3080777309646874E+04	  +5.6959002813548090E+04	
  +6.5875000000000000E+01	  +4.1199634802477131E-01	  +1.7082496754627814E+00	  +4.4382840003974779E+00	  +2.8462906435783247E+04	  +5.3072004680963262E+04	  +5.6968673978903258E+04	
  +6.6000000000000000E+01	  +4.1209783368778508E-01	  +1.7081472131907711E+00	  +4.4372241070799783E+00	  +2.8473720752113375E+04	  +5.3069364177219781E+04	  +5.6953297650737804E+04	
