 TIME                    	Pump1flow                	PumpDeaLPflow            	PumpDeaHPflow            	
  +1.2612500000000000E+02	  +3.4861330680698113E+04	  +8.7912273226034624E+04	  +1.0386631047652890E+05	
  +1.2625000000000000E+02	  +3.4874934159838129E+04	  +8.7890188409256720E+04	  +1.0387956672286725E+05	
  +1.2637500000000000E+02	  +3.4876692378967266E+04	  +8.7884755672631029E+04	  +1.0389789255810456E+05	
  +1.2650000000000000E+02	  +3.4904845326945149E+04	  +8.7866770460921252E+04	  +1.0392401944308044E+05	
  +1.2662500000000000E+02	  +3.4916470599667082E+04	  +8.7888654567130143E+04	  +1.0393811131089240E+05	
  +1.2675000000000000E+02	  +3.4926355415146470E+04	  +8.7900247325629665E+04	  +1.0395019274964344E+05	
  +1.2687500000000000E+02	  +3.4917783917014734E+04	  +8.7908967734374120E+04	  +1.0395120275035816E+05	
  +1.2700000000000000E+02	  +3.4924663466025624E+04	  +8.7897593478570983E+04	  +1.0396209075336413E+05	
  +1.2712500000000000E+02	  +3.4988561734415460E+04	  +8.7854334964617286E+04	  +1.0396480385577332E+05	
  +1.2725000000000000E+02	  +3.5106888991514083E+04	  +8.7974107585141872E+04	  +1.0395586866730556E+05	
  +1.2737500000000000E+02	  +3.5204099097034217E+04	  +8.7951977510517987E+04	  +1.0393560107996938E+05	
  +1.2750000000000000E+02	  +3.5333195545845068E+04	  +8.8012441026983186E+04	  +1.0391942782496396E+05	
  +1.2762500000000000E+02	  +3.5329192576402696E+04	  +8.7949912006450366E+04	  +1.0388619800678504E+05	
  +1.2775000000000000E+02	  +3.5380895879394026E+04	  +8.7926392111976107E+04	  +1.0390774112368657E+05	
  +1.2787500000000000E+02	  +3.5380895879394026E+04	  +8.7983293001735597E+04	  +1.0386779108324618E+05	
  +1.2800000000000000E+02	  +3.5383945923003484E+04	  +8.7984101045931529E+04	  +1.0386258774561893E+05	
  +1.2812500000000000E+02	  +3.5461294227397208E+04	  +8.7889757490138159E+04	  +1.0385572165622018E+05	
  +1.2825000000000000E+02	  +3.5643329344231999E+04	  +8.7992268130218959E+04	  +1.0385340838677780E+05	
  +1.2837500000000000E+02	  +3.5756321984270362E+04	  +8.7908124844463164E+04	  +1.0384142473456214E+05	
  +1.2850000000000000E+02	  +3.5986570142210534E+04	  +8.7973081887849170E+04	  +1.0386077908655671E+05	
  +1.2862500000000000E+02	  +3.5987245142680658E+04	  +8.7861813940220629E+04	  +1.0381889193543413E+05	
  +1.2875000000000000E+02	  +3.6051085711565443E+04	  +8.7839904958777028E+04	  +1.0386183345178192E+05	
  +1.2887500000000000E+02	  +3.6051085711565443E+04	  +8.7910424938621349E+04	  +1.0381172422873869E+05	
  +1.2900000000000000E+02	  +3.6048049946696192E+04	  +8.7916164861265657E+04	  +1.0380459901653038E+05	
  +1.2912500000000000E+02	  +3.6139701819479989E+04	  +8.7919586182289568E+04	  +1.0379939939410871E+05	
  +1.2925000000000000E+02	  +3.6312340335363959E+04	  +8.7908580376331462E+04	  +1.0378417281673419E+05	
  +1.2937500000000000E+02	  +3.6540375873032121E+04	  +8.7880245717784623E+04	  +1.0376743016956575E+05	
  +1.2950000000000000E+02	  +3.6696169754228576E+04	  +8.7919088735020239E+04	  +1.0370667542807423E+05	
  +1.2962500000000000E+02	  +3.6746030752599516E+04	  +8.7806921242744676E+04	  +1.0368335606718744E+05	
  +1.2975000000000000E+02	  +3.6746030752599516E+04	  +8.7830534528802964E+04	  +1.0367239869061139E+05	
  +1.2987500000000000E+02	  +3.6768543472123652E+04	  +8.7840209995314115E+04	  +1.0365734629828364E+05	
  +1.3000000000000000E+02	  +3.6777874781231723E+04	  +8.7869348075736096E+04	  +1.0362768119268065E+05	
  +1.3012500000000000E+02	  +3.6901753307170649E+04	  +8.7873719028559601E+04	  +1.0360664831627358E+05	
  +1.3025000000000000E+02	  +3.7089197070085145E+04	  +8.7788160005997503E+04	  +1.0359320380869624E+05	
  +1.3037500000000000E+02	  +3.7347525796014299E+04	  +8.7789859690713361E+04	  +1.0361739945633034E+05	
  +1.3050000000000000E+02	  +3.7600465901216216E+04	  +8.7775984730576354E+04	  +1.0360276383886604E+05	
  +1.3062500000000000E+02	  +3.7725168281959799E+04	  +8.7730208831191499E+04	  +1.0358952606192038E+05	
  +1.3075000000000000E+02	  +3.7725168281959799E+04	  +8.7730365538286962E+04	  +1.0357149027065048E+05	
  +1.3087500000000000E+02	  +3.7727446276854680E+04	  +8.7739846646770311E+04	  +1.0355832688765263E+05	
  +1.3100000000000000E+02	  +3.7711980898384842E+04	  +8.7739010367146970E+04	  +1.0354236758695057E+05	
  +1.3112500000000000E+02	  +3.7799806633325134E+04	  +8.7612069314484877E+04	  +1.0353619865196350E+05	
  +1.3125000000000000E+02	  +3.8020086294769026E+04	  +8.7763609342310650E+04	  +1.0352136750192981E+05	
  +1.3137500000000000E+02	  +3.8157631438750206E+04	  +8.7691052157276834E+04	  +1.0348208540377808E+05	
  +1.3150000000000000E+02	  +3.8365564281482999E+04	  +8.7706815599892405E+04	  +1.0347118831507477E+05	
  +1.3162500000000000E+02	  +3.8438417403108477E+04	  +8.7585564378871204E+04	  +1.0342139122045052E+05	
  +1.3175000000000000E+02	  +3.8438417403108477E+04	  +8.7643670609110661E+04	  +1.0339648811595884E+05	
  +1.3187500000000000E+02	  +3.8464348304741427E+04	  +8.7654016383169554E+04	  +1.0337672525776844E+05	
  +1.3200000000000000E+02	  +3.8462390710706299E+04	  +8.7684134694802284E+04	  +1.0334110505924292E+05	
  +1.3212500000000000E+02	  +3.8410121156014910E+04	  +8.7722432868790231E+04	  +1.0332044336727212E+05	
  +1.3225000000000000E+02	  +3.8294326135028554E+04	  +8.7589903987557525E+04	  +1.0330729035525367E+05	
  +1.3237500000000000E+02	  +3.8190337357107725E+04	  +8.7565499093971550E+04	  +1.0331432839207153E+05	
  +1.3250000000000000E+02	  +3.8086556118014698E+04	  +8.7536306050786487E+04	  +1.0332287473208428E+05	
  +1.3262500000000000E+02	  +3.8079017141542805E+04	  +8.7586047730324164E+04	  +1.0333252171210267E+05	
  +1.3275000000000000E+02	  +3.8050600447360666E+04	  +8.7583163901613792E+04	  +1.0330404771258195E+05	
  +1.3287500000000000E+02	  +3.8041728004899553E+04	  +8.7546933561777827E+04	  +1.0331195401703485E+05	
  +1.3300000000000000E+02	  +3.8006674765004245E+04	  +8.7538936570645790E+04	  +1.0330603579086202E+05	
  +1.3312500000000000E+02	  +3.7997190799938486E+04	  +8.7514837735694207E+04	  +1.0331617905681874E+05	
