 TIME                    	pinLPT3_condhigh         	pcond_high_bar           	h_condhigh               	h_steamhigh              	
  +9.7125000000000000E+01	  +4.6617873352609568E-01	  +4.0800451928927217E-01	  +3.3297298997701245E+02	  +2.5031099446916128E+03	
  +9.7250000000000000E+01	  +4.6540193325749801E-01	  +4.0863401763313378E-01	  +3.3281973033870395E+02	  +2.5036806710838755E+03	
  +9.7375000000000000E+01	  +4.6464671171289218E-01	  +4.0926433536294765E-01	  +3.3263589312728584E+02	  +2.5040558815615082E+03	
  +9.7500000000000000E+01	  +4.6394977104164437E-01	  +4.0989547326403064E-01	  +3.3246287197571274E+02	  +2.5044251305413009E+03	
  +9.7625000000000000E+01	  +4.6296494223684242E-01	  +4.1021135002433284E-01	  +3.3230320296417733E+02	  +2.5049173307442720E+03	
  +9.7750000000000000E+01	  +4.6199927758406029E-01	  +4.1021135002433284E-01	  +3.3207757882100219E+02	  +2.5048778554105934E+03	
  +9.7875000000000000E+01	  +4.6111002890591563E-01	  +4.1021135002433284E-01	  +3.3185634518240795E+02	  +2.5047937392711983E+03	
  +9.8000000000000000E+01	  +4.6020934301623145E-01	  +4.1021135002433284E-01	  +3.3165261843305024E+02	  +2.5048475309577325E+03	
  +9.8125000000000000E+01	  +4.5924150916697520E-01	  +4.1024660308089350E-01	  +3.3144627142010836E+02	  +2.5048700921434743E+03	
  +9.8250000000000000E+01	  +4.5814363961181420E-01	  +4.1031711686171229E-01	  +3.3097301905543003E+02	  +2.5049294291064434E+03	
  +9.8375000000000000E+01	  +4.5704896392948086E-01	  +4.1038764086703750E-01	  +3.3072222900778212E+02	  +2.5046098043316315E+03	
  +9.8500000000000000E+01	  +4.5606055393207029E-01	  +4.1045817509796101E-01	  +3.3049578441387479E+02	  +2.5045107421617167E+03	
  +9.8625000000000000E+01	  +4.5519563810766489E-01	  +4.1049344604836330E-01	  +3.3050256890882179E+02	  +2.5045495292672854E+03	
  +9.8750000000000000E+01	  +4.5447841330451189E-01	  +4.1049344604836330E-01	  +3.3029763231794851E+02	  +2.5047996509710183E+03	
  +9.8875000000000000E+01	  +4.5381418554755504E-01	  +4.1049344604836330E-01	  +3.3013331621459480E+02	  +2.5047820136313239E+03	
  +9.9000000000000000E+01	  +4.5314990126078208E-01	  +4.1049344604836330E-01	  +3.2998114172720585E+02	  +2.5048099918910098E+03	
  +9.9125000000000000E+01	  +4.5257709431635318E-01	  +4.1037163183039871E-01	  +3.2982895428884382E+02	  +2.5048310836646488E+03	
  +9.9250000000000000E+01	  +4.5203388121912969E-01	  +4.1012809487984181E-01	  +3.2969772429697980E+02	  +2.5049084350564112E+03	
